1;true;Rui Manuel Almeida;Travessa da Rua Antiga, nº1;Faro;8500-345;Portimão;Faro;910000091;email1@email.pt;100200300;210211212;5000.00
2;false;Manuel Santos;Travessa da Rua Nova, nº2;Portimão;8500-123;Portimão;Faro;910000092;email2@email.pt;100200301;210211213;1000.00
3;true;Rita Silva;Travessa da Rua Samba, nº3;Faro;8500-345;Portimão;Faro;910000093;email3@email.pt;100200302;210211214;1000.00
4;true;Denise Martins;Travessa da Rua Trindade, nº4;Portimão;8500-123;Portimão;Faro;910000094;email4@email.pt;100200303;210211215;1000.00
5;true;Diogo Garcia;Travessa da Rua Divino, nº5;Faro;8500-345;Portimão;Faro;910000095;email5@email.pt;100200304;210211216;1000.00
6;true;Rute Damasco;Travessa da Rua Florida, nº6;Portimão;8500-123;Portimão;Faro;910000096;email6@email.pt;100200305;210211217;5000.00
7;true;José Gregório;Travessa da Rua Morta, nº7;Faro;8500-345;Portimão;Faro;910000097;email7@email.pt;100200306;210211218;5000.00
8;true;Luís Figo;Travessa da Rua Viva, nº8;Portimão;8500-123;Portimão;Faro;910000098;email8@email.pt;100200307;210211219;1000.00
9;true;Ronaldo Gaúcho;Travessa da Rua Navegável, nº9;Faro;8500-345;Portimão;Faro;910000099;email9@email.pt;100200308;210211220;1000.00
10;false;Barroso Damasceno;Travessa da Rua Favorita, nº10;Portimão;8500-123;Portimão;Faro;910000100;email10@email.pt;100200309;210211221;5000.00
